Index,Title,Price,Color
332,Skechers Slip-ins: BOBS D'Vine - So Flattered,"70,00 ",1 
333,Uno - World of Gems,"100,00 ",1 
334,Skechers Slip-ins: Arch Fit 2.0 - Easy Chic,"115,00 ",4 
335,Skechers Slip-ins: Ultra Flex 3.0 - Shining Glitz,"110,00 ",2 
336,Jade - Shining Stones,"80,00 ",2 
337,Uno Rugged - Darling Days,"100,00 ",5 
338,Cleo Sawdust - Twinkle,"60,00 ",2 
339,Skechers Slip-ins Waterproof: Summits - Best Choice,"110,00 ",3 
340,BOBS Tango,"70,00 ",2 
341,Arch Fit Refine - Iris,"85,00 ",1 
342,Vapor Foam Lite - Revolve,"70,00 ",1
343,Park City,"90,00 ",2 
344,Ultra Flex 3.0 - All Momentum,"85,00 ",2 
345,GO WALK Flex - Kali,"75,00 ",4 
346,Skechers Razor Gold TF,"100,00 ",2 
347,On-the-GO Glacial Ultra - Trend Up,"80,00 ",2 
348,BOBS Cozy Chill - Light Downtime,"40,00 ",1 
349,Skechers Slip-ins: BOBS Sport Squad Chaos,"80,00 ",2 
350,Skechers Slip-ins: BOBS Sport Sparrow 2.0 - Lucky Run,"75,00 ",2 
351,Skechers Slip-ins Relaxed Fit: Viper Court Reload,"100,00 ",2 
352,Lingo - Glam Central,"85,00 ",3 
353,Hiland - Quite Chic,"80,00 ",3 
354,GO RUN Elevate 2.0 - Allaire,"90,00 ",1 
355,Uno - Majestic Garden,"95,00 ",1 
356,On-the-GO Flex - Logan,"75,00 ",2 
357,GO WALK Max Walker - Sally,"90,00 ",1 
358,Uno Rugged - Fall Air 2,"125,00 ",3 
359,Work: Arch Fit SR - Trickell II,"95,00 ",1 
360,Vapor Plus - Stoked,"80,00 ",2 
361,Zinger - Metallic Roads,"75,00 ",2 
362,Skech-Lite Pro - Through The Mud,"90,00 ",2 
363,Relaxed Fit: Breathe-Easy - Keep Clean,"65,00 ",1 
364,Summits - Pixi,"65,00 ",2 
365,Flex Appeal 5.0,"75,00 ",5 
366,Skechers Razor Gold FG,"100,00 ",2 
367,BOBS D'Vine Sky - Main Step,"65,00 ",1 
368,Skechers Slip-Ins: GO WALK Arch Fit 2.0 - Delara,"110,00 ",2 
369,Glide-Step Gratify - Lume,"90,00 ",2 
370,BOBS D'Vine Sky - Prime Pace,"60,00 ",1 
371,Skechers Slip-ins RF: Reggae Fest 2.0 - Guiding,"80,00 ",3 
372,Work: Arch Fit SR,"90,00 ",1 
373,Synergy - Plaid Mood,"70,00 ",1 
374,Skechers GO WALK Arch Fit - Iconic,"90,00 ",1 
375,Skechers Slip-ins: Glide-Step Pro,"95,00 ",4 
376,Skechers Slip-ins: Virtue - Sleek,"80,00 ",4 
377,Skechers BOBS Sport Sparrow Flex - Instant Clout,"70,00 ",4 
